ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Resources Recycling & Recovery|Sacramento County|2/6/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Limited Term Fulltime|Department of Transportation|Fresno County|2/6/2024|5518.0|6907.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Water Resources|Sacramento County|2/6/2024|5684.0|7114.0
ATTORNEY|Limited Term Fulltime|California Civil Rights Department|United States|2/6/2024|7506.0|11173.0
ATTORNEY V|Permanent Fulltime|Department of Insurance|United States|2/6/2024|12290.0|15685.0
BUSINESS TAXES SPECIALIST I, BOARD OF EQUALIZATION|Permanent Fulltime|CA Department of Tax and Fee Administration|Los Angeles County|2/6/2024|7589.0|9500.0
BUSINESS TAXES SPECIALIST II, BOARD OF EQUALIZATION|Permanent Fulltime|CA Department of Tax and Fee Administration|Los Angeles County|2/6/2024|7559.0|9937.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Intermittent|Department of Transportation|Sacramento County|2/6/2024|4741.0|5720.0
CALTRANS HIGHWAY MAINTENANCE LEADWORKER|Permanent Fulltime|Department of Transportation|Mendocino County|2/6/2024|4970.0|6251.0
ENGINEER, WATER RESOURCES|Permanent Fulltime|Department of Water Resources|Sacramento County|2/6/2024|6175.0|11567.0
ENVIRONMENTAL SCIENTIST|Permanent Intermittent|Department of Water Resources|Yolo County|2/6/2024|4145.0|7926.0
FISH AND WILDLIFE SCIENTIFIC AID|Non-Tenured Intermittent|Department of Fish and Wildlife|Inyo County|2/6/2024|17.21|20.43
FISH AND WILDLIFE SCIENTIFIC AID|Non-Tenured Intermittent|Department of Fish and Wildlife|Mono County|2/6/2024|17.21|20.43
HEALTH PROGRAM SPECIALIST I|Limited Term Fulltime|Department of Public Health|Sacramento County|2/6/2024|6243.0|7815.0
HYDROELECTRIC PLANT ELECTRICIAN II|Permanent Fulltime|Department of Water Resources|Kern County|2/6/2024|8935.0|11078.0
INFORMATION TECHNOLOGY ASSOCIATE|Permanent Fulltime|CA Department of Tax and Fee Administration|Sacramento County|2/6/2024|4651.0|8238.0
INFORMATION TECHNOLOGY SPECIALIST I|Limited Term Fulltime|State Controller's Office|Sacramento County|2/6/2024|6139.0|9932.0
INFORMATION TECHNOLOGY SPECIALIST II|Permanent Fulltime|State Controller's Office|Sacramento County|2/6/2024|8130.0|10893.0
JUNIOR ENGINEERING TECHNICIAN|Permanent Fulltime|Department of Transportation|Humboldt County|2/6/2024|3056.0|4621.0
OFFICE TECHNICIAN (TYPING)|Permanent Fulltime|CA Department of Tax and Fee Administration|New York County|2/6/2024|3609.0|4518.0
PROGRAM TECHNICIAN II|Permanent Fulltime|Department of Consumer Affairs|Sacramento County|2/6/2024|3613.0|4528.0
SENIOR ELECTRICAL ENGINEER, CALTRANS (SUPERVISOR)|Permanent Fulltime|Department of Transportation|Sacramento County|2/6/2024|10886.0|13625.0
STAFF SERVICES ANALYST|Limited Term Fulltime|California Correctional Health Care Services|San Bernardino County|2/6/2024|3640.0|5916.0
STAFF SERVICES ANALYST|Permanent Fulltime|Franchise Tax Board|Sacramento County|2/6/2024|3640.0|5916.0
STAFF SERVICES ANALYST|Permanent Fulltime|Department of Justice|Sacramento County|2/6/2024|3640.0|5916.0
STAFF SERVICES ANALYST|Permanent Fulltime|Department of Justice|Los Angeles County|2/6/2024|3640.0|5916.0
STAFF SERVICES ANALYST|Permanent Fulltime|Department of Justice|Alameda County|2/6/2024|3640.0|5916.0
ACCOUNTING ADMINISTRATOR I (SPECIALIST)|Permanent Fulltime|CA State Lottery|Sacramento County|2/5/2024|6243.0|7815.0
ACCOUNTING ADMINISTRATOR I (SUPERVISOR)|Permanent Fulltime|Department of Industrial Relations|Sacramento County|2/5/2024|6760.0|8398.0
ACCOUNTING OFFICER (SPECIALIST)|Permanent Fulltime|Department of Resources Recycling & Recovery|Sacramento County|2/5/2024|4964.0|6213.0
ADMINISTRATIVE ASSISTANT I|Permanent Fulltime|State Treasurer's Office|Sacramento County|2/5/2024|4726.0|6190.0
ADMINISTRATIVE ASSISTANT I|Permanent Fulltime|California Correctional Health Care Services|Los Angeles County|2/5/2024|4726.0|5916.0
ADMINISTRATOR I, FRANCHISE TAX BOARD|Permanent Fulltime|Franchise Tax Board|Sacramento County|2/5/2024|7231.0|9501.0
ADMINISTRATOR IV FRANCHISE TAX BOARD|Permanent Fulltime|Franchise Tax Board|Sacramento County|2/5/2024|10130.0|12080.0
AIR RESOURCES SUPERVISOR I|Permanent Fulltime|State Air Resources Board|Riverside County|2/5/2024|10886.0|13625.0
AIR RESOURCES SUPERVISOR I|Limited Term Fulltime|State Air Resources Board|Riverside County|2/5/2024|10886.0|13625.0
AIR RESOURCES TECHNICIAN II|Limited Term Fulltime|State Air Resources Board|United States|2/5/2024|3804.0|4764.0
ASSOCIATE ACCOUNTING ANALYST|Permanent Fulltime|State Controller's Office|Sacramento County|2/5/2024|5967.0|7474.0
ASSOCIATE ACCOUNTING ANALYST|Permanent Fulltime|State Water Resources Control Board|Sacramento County|2/5/2024|5967.0|7474.0
ASSOCIATE ACCOUNTING ANALYST|Permanent Fulltime|Public Employees Retirement System|Sacramento County|2/5/2024|5967.0|7474.0
ASSOCIATE ACCOUNTING ANALYST|Permanent Fulltime|Department of Fish and Wildlife|Sacramento County|2/5/2024|5967.0|7474.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|State Air Resources Board|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Employment Development Department|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Covered California|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of General Services|Yolo County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Emergency Medical Services Authority|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Prison Industry Authority|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Limited Term Fulltime|Department of Fish and Wildlife|Sacramento County|2/5/2024|5518.0|7116.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|State Controller's Office|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Department of Cannabis Control|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Public Employees Retirement System|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|Covered California|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|CA State Lottery|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|State Teachers' Retirement System|Yolo County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|CA Alternative Energy and Advanced Transportation Financing Authority|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST|Permanent Fulltime|CA Tax Credit Allocation Committee|Sacramento County|2/5/2024|5684.0|7114.0
ASSOCIATE HYDROELECTRIC POWER UTILITY ENGINEER|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|9245.0|11566.0
ATTORNEY|Permanent Fulltime|Department of Insurance|United States|2/5/2024|7737.0|11173.0
ATTORNEY III|Permanent Fulltime|Department of Cannabis Control|Sacramento County|2/5/2024|10536.0|13526.0
ATTORNEY, ASSISTANT CHIEF COUNSEL|Permanent Fulltime|Covered California|Sacramento County|2/5/2024|14090.0|16483.0
AUTOMOTIVE TECHNICIAN II|Permanent Fulltime|California Highway Patrol|Los Angeles County|2/5/2024|4219.0|5340.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Fulltime|Department of Transportation|Inyo County|2/5/2024|4741.0|5720.0
CALTRANS EQUIPMENT OPERATOR II|Permanent Fulltime|Department of Transportation|Mariposa County|2/5/2024|4741.0|5720.0
CALTRANS HEAVY EQUIPMENT MECHANIC|Permanent Fulltime|Department of Transportation|Los Angeles County|2/5/2024|5445.0|6276.0
CALTRANS HIGHWAY MAINTENANCE LEADWORKER|Permanent Fulltime|Department of Transportation|Mono County|2/5/2024|4970.0|6251.0
CALTRANS HIGHWAY MAINTENANCE WORKER|Permanent Intermittent|Department of Transportation|Alpine County|2/5/2024|3983.0|4541.0
CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)|Permanent Fulltime|California Correctional Health Care Services|San Bernardino County|2/5/2024|26961.0|33417.0
CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY|Permanent Fulltime|Department of Corrections & Rehabilitation|San Diego County|2/5/2024|7104.0|10011.0
COASTAL PROGRAM ANALYST III|Permanent Fulltime|CA Coastal Commission|San Francisco County|2/5/2024|7252.0|9084.0
CORRECTIONAL ADMINISTRATOR, DEPARTMENT OF CORRECTIONS|Limited Term Fulltime|Department of Corrections & Rehabilitation|Sacramento County|2/5/2024|12406.0|14202.0
CORRECTIONAL OFFICER|Permanent Fulltime|Sierra Conservation Center|Inyo County|2/5/2024|6900.0|8675.0
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)|Permanent Fulltime|Mule Creek State Prison|Amador County|2/5/2024|4322.0|6005.0
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)|Permanent Fulltime|R J Donovan Correctional Facility|San Diego County|2/5/2024|4322.0|5316.0
CUSTODIAN I|Permanent Fulltime|Prison Industry Authority|Marin County|2/5/2024|3135.0|3924.0
CUSTODIAN I|Permanent Fulltime|Department of General Services|Sacramento County|2/5/2024|3135.0|3924.0
CUSTODIAN SUPERVISOR I|Permanent Fulltime|Prison Industry Authority|San Diego County|2/5/2024|3557.0|4457.0
DEPUTY ATTORNEY GENERAL IV|Permanent Fulltime|Department of Justice|San Francisco County|2/5/2024|11644.0|14954.0
DEPUTY ATTORNEY GENERAL IV|Permanent Fulltime|Department of Justice|Sacramento County|2/5/2024|11644.0|14954.0
DEPUTY ATTORNEY GENERAL IV|Permanent Fulltime|Department of Justice|Fresno County|2/5/2024|11644.0|14954.0
DEPUTY ATTORNEY GENERAL IV|Permanent Fulltime|Department of Justice|Orange County|2/5/2024|11644.0|14954.0
DEPUTY ATTORNEY GENERAL SUPERVISOR|Permanent Fulltime|Department of Justice|United States|2/5/2024|12818.0|16470.0
DISTRICT REPRESENTATIVE I, DIVISION OF CODES AND STANDARDS (NON-PEACE OFF)|Permanent Fulltime|Department of Housing & Community Development|Santa Clara County|2/5/2024|6063.0|7522.0
EDUCATION PROGRAMS CONSULTANT|Permanent Fulltime|Department of Education|Sacramento County|2/5/2024|7538.0|9435.0
ELECTRICAL ENGINEER|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|6175.0|8848.0
ELECTRICAL ENGINEERING TECHNICIAN II|Permanent Fulltime|Department of Transportation|Shasta County|2/5/2024|5067.0|6340.0
EMPLOYMENT PROGRAM MANAGER II|Permanent Fulltime|Employment Development Department|Sacramento County|2/5/2024|6757.0|8459.0
EMPLOYMENT PROGRAM MANAGER II|Permanent Fulltime|Employment Development Department|Sacramento County|2/5/2024|6757.0|8459.0
EMPLOYMENT PROGRAM REPRESENTATIVE|Permanent Fulltime|Employment Development Department|Alameda County|2/5/2024|3822.0|5948.0
EMPLOYMENT PROGRAM REPRESENTATIVE|Permanent Fulltime|Employment Development Department|Alameda County|2/5/2024|3822.0|5948.0
EMPLOYMENT PROGRAM REPRESENTATIVE|Permanent Fulltime|Employment Development Department|Alameda County|2/5/2024|3822.0|5948.0
ENGINEER, WATER RESOURCES|Permanent Fulltime|Department of Water Resources|Sacramento County|2/5/2024|6175.0|11567.0
ENVIRONMENTAL SCIENTIST|Permanent Fulltime|Department of Toxic Substances Control|United States|2/5/2024|4145.0|7926.0
ENVIRONMENTAL SCIENTIST|Permanent Fulltime|Department of Public Health|Contra Costa County|2/5/2024|4145.0|7926.0
ENVIRONMENTAL SCIENTIST|Permanent Fulltime|Department of Public Health|Contra Costa County|2/5/2024|4145.0|7926.0
ENVIRONMENTAL SCIENTIST|Permanent Fulltime|Department of Fish and Wildlife|Sonoma County|2/5/2024|4145.0|7926.0
ENVIRONMENTAL SCIENTIST|Permanent Fulltime|Department of Fish and Wildlife|Yolo County|2/5/2024|4145.0|7926.0
